DNR Parameter,Parameter Type,Description,Result,Units,Present/Absent,Analysis Method,Start Date/Time,Analysis Date/Time,Result Depth,Header/Labslip Depth,Lab ID,Lab Method,Result Comments,Lab Comments,LOD,Lower Bound,LOQ,Upper Bound,ID No,ID Point No,Second ID No,Fieldwork Event Field No,Sample/Labslip Field No,Project #,Sample Description,Location Description,Monitoring Location Latitude,Monitoring Location Longitude,Monitoring Station Latitude,Monitoring Station Longitude,Received,Reported,Station ID,Station Name,WBIC,Official Waterbody Name,Station Type,Watershed,County,WMU,Lab Account Code
40011,SWIMS,Did you use rake to extract plant samples?,YES,,,,9/29/2015,9/29/2015 0:00,,,,,,,,,,,10017474,,,,,,,,0,0,43.0268,-88.5342,,,10017474,Golden Lake -- Access,775900,Golden Lake,LAKE-BOAT LANDING,,NA,,
40039,SWIMS,Water Flea Tow Method,horizontal tows (near surface),,,,10/1/2009,10/1/2009 0:00,,,,,,,,,,,10007207,,,,,,,,0,0,43.03,-88.53,,,10007207,Golden Lake,775900,Golden Lake,LAKE,Bark River,Waukesha,Lower Rock,
40039,SWIMS,Water Flea Tow Method,horizontal tows (near surface),,,,8/2/2011,8/2/2011 10:30,,,,,,,,,,,10007207,,,,,,,,43.03,-88.53,43.03,-88.53,,,10007207,Golden Lake,775900,Golden Lake,LAKE,Bark River,Waukesha,Lower Rock,
40040,SWIMS,Diameter of zooplankton net opening,50,CM,,,10/1/2009,10/1/2009 0:00,,,,,,,,,,,10007207,,,,,,,,0,0,43.03,-88.53,,,10007207,Golden Lake,775900,Golden Lake,LAKE,Bark River,Waukesha,Lower Rock,
40040,SWIMS,Diameter of zooplankton net opening,50,CM,,,8/2/2011,8/2/2011 10:30,,,,,,,,,,,10007207,,,,,,,,43.03,-88.53,43.03,-88.53,,,10007207,Golden Lake,775900,Golden Lake,LAKE,Bark River,Waukesha,Lower Rock,
90069,SWIMS,Boat was leaving landing,3,WATERCRAFT,,,8/14/2012,8/14/2012 0:00,,,,,,,,,,,10017474,,,,,,,,43.0268,-88.5342,43.0268,-88.5342,,,10017474,Golden Lake -- Access,775900,Golden Lake,LAKE-BOAT LANDING,Bark River,Waukesha,Lower Rock,
90069,SWIMS,Boat was leaving landing,6,,,,7/22/2016,7/22/2016 17:00,,,,,,,,,,,10017474,,,,,,,,0,0,43.0268,-88.5342,,,10017474,Golden Lake -- Access,775900,Golden Lake,LAKE-BOAT LANDING,,NA,,
90069,SWIMS,Boat was leaving landing,0,,,,5/13/2017,5/13/2017 6:00,,,,,,,,,,,10017474,,,,,,,,0,0,43.0268,-88.5342,,,10017474,Golden Lake -- Access,775900,Golden Lake,LAKE-BOAT LANDING,,NA,,
90069,SWIMS,Boat was leaving landing,1,,,,5/6/2017,5/6/2017 6:00,,,,,,,,,,,10017474,,,,,,,,0,0,43.0268,-88.5342,,,10017474,Golden Lake -- Access,775900,Golden Lake,LAKE-BOAT LANDING,,NA,,
90069,SWIMS,Boat was leaving landing,1,,,,5/20/2017,5/20/2017 6:00,,,,,,,,,,,10017474,,,,,,,,0,0,43.0268,-88.5342,,,10017474,Golden Lake -- Access,775900,Golden Lake,LAKE-BOAT LANDING,,NA,,
