DNR Parameter,Parameter Type,Description,Result,Units,Present/Absent,Analysis Method,Start Date/Time,Analysis Date/Time,Result Depth,Header/Labslip Depth,Lab ID,Sample/Labslip ID,Lab Method,Result Comments,Lab Comments,LOD,Lower Bound,LOQ,Upper Bound,ID No,ID Point No,Second ID No,Fieldwork Event Field No,Sample/Labslip Field No,Project #,Sample Description,Location Description,Monitoring Location Latitude,Monitoring Location Longitude,Monitoring Station Latitude,Monitoring Station Longitude,Received,Reported,Station ID,Station Name,WBIC,Official Waterbody Name,Station Type,Watershed,County,WMU,Lab Account Code
10,DNR_STORET,TEMPERATURE FIELD,50.4,F,,,11/7/2004 0:00,11/7/2004 0:00,,,750040280,8740:00:00,,,,,,,,703055,,191100,,,,,LONG LAKE-EAST BASIN -,0,0,44.21839,-89.1125,,1/23/2015,703055,Long Lake - East Basin,191100,Long Lake,LAKE,,NA,,
10,DNR_STORET,TEMPERATURE FIELD,51.7,F,,,4/6/2012 0:00,4/6/2012 0:00,,,750040280,8704:00:00,,,,,,,,703055,,191100,,,,,LONG LAKE-EAST BASIN -,0,0,44.21839,-89.1125,,1/23/2015,703055,Long Lake - East Basin,191100,Long Lake,LAKE,,NA,,
10,DNR_STORET,TEMPERATURE FIELD,22,C,,,6/23/1993 3:15,,,1 Feet,113133790,ID108650,,,,,,,,703055,,,SURFACE,SURFACE,,WISC. LAKE MGMT. PLAN GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,6/24/1993,7/13/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR133
10,DNR_STORET,TEMPERATURE FIELD,6,C,,,6/23/1993 3:15,,,53 Feet,113133790,ID108651,,,,,,,,703055,,,SURFACE,BOTTOM,,WISC. LAKE MGMT. PLAN GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,6/24/1993,7/13/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR133
10,DNR_STORET,TEMPERATURE FIELD,0.1,C,,,3/2/1994 10:00,,,2 Feet,113133790,IE019319,,,,,,,,703055,,,SURFACE,SURFACE,,,LONG LAKE (NEAR SAXEVILLE) EAST BASIN,44.21,-89.11,44.21839,-89.1125,3/3/1994,3/25/1994,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR204
10,DNR_STORET,TEMPERATURE FIELD,2.6,C,,,3/2/1994 10:00,,,48 Feet,113133790,IE019320,,,,,,,,703055,,,SURFACE,BOTTOM,,,LONG LAKE (NEAR SAXEVILLE) EAST BASIN,44.21,-89.11,44.21839,-89.1125,3/3/1994,3/25/1994,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR204
10,DNR_STORET,TEMPERATURE FIELD,23.5,C,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,FIELD TESTS,,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
10,DNR_STORET,TEMPERATURE FIELD,23.5,C,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,VOLUME FIELD FILT FOR CHLOROPHYLL A (SM 10200H),,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
10,DNR_STORET,TEMPERATURE FIELD,23.5,C,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,FIELD TESTS,,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
10,DNR_STORET,TEMPERATURE FIELD,24.4,C,,,8/17/2006 0:00,8/17/2006 0:00,,,113133790,IR004364,FIELD TESTS,,,,,,,703055,,191100,LONG,LONG,,GRAB,LONG LAKE - EAST BASIN,44.21839,-89.1125,44.21839,-89.1125,8/18/2006,9/26/2006,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WT069
