DNR Parameter,Parameter Type,Description,Result,Units,Present/Absent,Analysis Method,Start Date/Time,Analysis Date/Time,Result Depth,Header/Labslip Depth,Lab ID,Sample/Labslip ID,Lab Method,Result Comments,Lab Comments,LOD,Lower Bound,LOQ,Upper Bound,ID No,ID Point No,Second ID No,Fieldwork Event Field No,Sample/Labslip Field No,Project #,Sample Description,Location Description,Monitoring Location Latitude,Monitoring Location Longitude,Monitoring Station Latitude,Monitoring Station Longitude,Received,Reported,Station ID,Station Name,WBIC,Official Waterbody Name,Station Type,Watershed,County,WMU,Lab Account Code
301,DNR_STORET,"OXYGEN, DISSOLVED, PERCENT OF SATURATION %",77.8,%,,,5/22/2018 13:00,5/22/2018 13:00,11 Meters,,,,,,,,,,,703056,,,,,,Integrated Sampler,,44.21533,-89.12831,44.21533,-89.12831,,,703056,Long Lake - West Basin,191100,Long Lake,LAKE-DEEPEST SPOT,Pine and Willow Rivers,Waushara,Wolf River,WT068
301,DNR_STORET,"OXYGEN, DISSOLVED, PERCENT OF SATURATION %",87,%,,,5/22/2018 13:00,5/22/2018 13:00,10 Meters,,,,,,,,,,,703056,,,,,,Integrated Sampler,,44.21533,-89.12831,44.21533,-89.12831,,,703056,Long Lake - West Basin,191100,Long Lake,LAKE-DEEPEST SPOT,Pine and Willow Rivers,Waushara,Wolf River,WT068
301,DNR_STORET,"OXYGEN, DISSOLVED, PERCENT OF SATURATION %",107.8,%,,,5/22/2018 13:00,5/22/2018 13:00,9 Meters,,,,,,,,,,,703056,,,,,,Integrated Sampler,,44.21533,-89.12831,44.21533,-89.12831,,,703056,Long Lake - West Basin,191100,Long Lake,LAKE-DEEPEST SPOT,Pine and Willow Rivers,Waushara,Wolf River,WT068
301,DNR_STORET,"OXYGEN, DISSOLVED, PERCENT OF SATURATION %",115.4,%,,,5/22/2018 13:00,5/22/2018 13:00,8 Meters,,,,,,,,,,,703056,,,,,,Integrated Sampler,,44.21533,-89.12831,44.21533,-89.12831,,,703056,Long Lake - West Basin,191100,Long Lake,LAKE-DEEPEST SPOT,Pine and Willow Rivers,Waushara,Wolf River,WT068
301,DNR_STORET,"OXYGEN, DISSOLVED, PERCENT OF SATURATION %",112.5,%,,,5/22/2018 13:00,5/22/2018 13:00,7 Meters,,,,,,,,,,,703056,,,,,,Integrated Sampler,,44.21533,-89.12831,44.21533,-89.12831,,,703056,Long Lake - West Basin,191100,Long Lake,LAKE-DEEPEST SPOT,Pine and Willow Rivers,Waushara,Wolf River,WT068
301,DNR_STORET,"OXYGEN, DISSOLVED, PERCENT OF SATURATION %",113.5,%,,,5/22/2018 13:00,5/22/2018 13:00,6 Meters,,,,,,,,,,,703056,,,,,,Integrated Sampler,,44.21533,-89.12831,44.21533,-89.12831,,,703056,Long Lake - West Basin,191100,Long Lake,LAKE-DEEPEST SPOT,Pine and Willow Rivers,Waushara,Wolf River,WT068
301,DNR_STORET,"OXYGEN, DISSOLVED, PERCENT OF SATURATION %",115.4,%,,,5/22/2018 13:00,5/22/2018 13:00,5 Meters,,,,,,,,,,,703056,,,,,,Integrated Sampler,,44.21533,-89.12831,44.21533,-89.12831,,,703056,Long Lake - West Basin,191100,Long Lake,LAKE-DEEPEST SPOT,Pine and Willow Rivers,Waushara,Wolf River,WT068
301,DNR_STORET,"OXYGEN, DISSOLVED, PERCENT OF SATURATION %",102,%,,,5/22/2018 13:00,5/22/2018 13:00,4 Meters,,,,,,,,,,,703056,,,,,,Integrated Sampler,,44.21533,-89.12831,44.21533,-89.12831,,,703056,Long Lake - West Basin,191100,Long Lake,LAKE-DEEPEST SPOT,Pine and Willow Rivers,Waushara,Wolf River,WT068
301,DNR_STORET,"OXYGEN, DISSOLVED, PERCENT OF SATURATION %",91.7,%,,,5/22/2018 13:00,5/22/2018 13:00,3 Meters,,,,,,,,,,,703056,,,,,,Integrated Sampler,,44.21533,-89.12831,44.21533,-89.12831,,,703056,Long Lake - West Basin,191100,Long Lake,LAKE-DEEPEST SPOT,Pine and Willow Rivers,Waushara,Wolf River,WT068
301,DNR_STORET,"OXYGEN, DISSOLVED, PERCENT OF SATURATION %",91,%,,,5/22/2018 13:00,5/22/2018 13:00,2 Meters,,,,,,,,,,,703056,,,,,,Integrated Sampler,,44.21533,-89.12831,44.21533,-89.12831,,,703056,Long Lake - West Basin,191100,Long Lake,LAKE-DEEPEST SPOT,Pine and Willow Rivers,Waushara,Wolf River,WT068
