Date,pH_l,Cond_l,Alk,Thard,Turb,Color,DRP,TP,NH4,NO3NO2,Inorg_N,TKN,TN,TN_TP,Cl,SO4,Na,K
11/14/2003,6.69,260,134,137,1.5,4,12,12,0.16,0.01,0.17,0.6,0.61,51,0.5,7.5,2.2,0.8
4/17/2004,8.31,248,128,130,0.3,3,<4,12,0.02,0.06,0.08,0.41,0.47,39,1,6.8,1.6,0.7
11/7/2004,,228,,,,,5,7,0.08,<0.02,0.09,0.51,0.52,74,2.0,,,
4/28/2005,8.39,253,128,140,1.9,10.4,3,18,0.03,0.02,0.05,0.53,0.55,31,8,7,1.9,0.7
11/12/2005,8.05,251,136,138,2.1,7,<4,15,0.12,0.01,0.13,0.63,0.64,43,1.5,7.2,2.1,0.7
4/14/2006,7.84,271,140,141,1.8,2.5,6,15,0.03,0.16,0.19,0.51,0.67,45,2,6.6,2.0,0.8
4/2/2007,8.12,262,140,146,3.0,2.5,6,16,0.22,0.04,0.26,0.66,0.7,44,1.9,7.4,2.2,0.8
5/3/2009,,245,,,,,7,9,0.1,0.11,0.21,0.83,0.94,104,2.4,,,
4/21/2010,,223,,,,,<2,<6,0.06,0.08,0.14,0.43,0.51,170,1.5,,,
4/25/2011,8.16,247,148,140,1.9,<5,6,48,0.17,0.17,0.34,0.62,0.79,16,1.7,6.4,2.0,0.7
4/6/2012,,252,,,,,12,<6,0.08,0.06,0.14,0.57,0.63,210,2.1,,,
5/21/2013,,236,,,,,<2,15,0.01,0.06,0.07,0.51,0.57,38,1.7,,,
5/26/2014,,243,,,,,3,29,0.03,0.11,0.14,0.46,0.57,20,2.1,,,
4/19/2015,,264,,,,,<2,15,0.12,0.11,0.23,0.69,0.8,53,1.7,,,
4/17/2016,,254,,,,,6,23,0.21,0.07,0.28,0.59,0.66,29,2.0,,,
5/5/2018,8,276,139,,0.7,<5,<2,13,0.17,0.08,,0.81,,,2.4,5.8,2.0,0.7
